content,score,Label
Alhamdulillah dapat potongan harg 75k. Sukses selalu Wahyoo,5,Positif
"Ribet daftarnya. Lewat online, verifikasi lambat. Dan gak cocok buat umkm kecil. Harus ada ini itu. Sedangkan survei ke lokasi langsung gaada.",1,Negatif
Aplikasi nya mantul sy baru langganan 2 bulan lebih karna terima tantangan dapet hadia kompor kedua dapet hadiah oven kirin klaim hadiah 10 hari kemudian dikirim bener2 mantep,5,Positif
Mantap,3,Negatif
"Aplikasi kacau,udah buang waktu ngisi data segala macam sama salesnya,kurirnya ngirim gak ngabarin,main cancel"" aja,lAngsung uninstal",1,Negatif
"Stok di banyakin setiap mau pesen stok selalu habis, dan untuk para seles yg awal nawarin apk ini mohon tepati janjinya yg mau ngasih hadiah, 4 bulan lalu mau ngasih hadiah kompor nyampe sekarang bhulshit..! udah kendor order di wahyoo lagi yg pertama karena selesnya ga jelas, yg ke dua harga bahan sekarang malah lebih mahal dari harga pasaran gak kaya dulu",1,Negatif
"Aplikasi ga jelas jangan download buang2 kuota,semua stoknya gada yang bisa di beli,cuma jadi pajangan doang kali ya",1,Negatif
Msntul,5,Positif
"lumayan lah, tapi produk yang penting untuk promo malah lama ketersediaan stocknya",3,Negatif
ok,5,Positif
Hadiah tantangann. Tambah. Lgi donggg,5,Positif
Pengalaman buruk belanja disini...barang salah tidak dapat diganti ...,1,Negatif
Pengiriman ke tangerang kab blm bisa pagi jam 6,4,Positif
"Pengiriman cepat, kurir pun ramah",5,Positif
Mantap wahyoo..belanja dpt cashback plus hadiah,5,Positif
"Aneh aplikasi nya .. maasa belanja harus ditargetin mana mahal"" semua lagi .. ya mending belanja di aplikasi HATATA murah banyak promonya",1,Negatif
mantappppp,5,Positif
Bagus tinggal pesen besokny d antar tingkatkan terus y wahyo,5,Positif
Recommended,5,Positif
Pengin tau caranya biar dapat hadiah 2 dari wahyo gampang caranya 1 akun 2 hadiah klw ngejar target japri bos,1,Negatif
Alhamdulillah terimakasih banyak ya bapak ibu kirimannya baguus banget,5,Positif
Sangat memuaskn,5,Positif
"tolong didik sopir & cs , hargai pembeli! Saya beli cash eh barang ga diantar, alasan warung tutup. Punya tangan atau hp tinggal telpon atau getok² aja pintunya. Ini ga ada omongan apa apa main tinggal aja, sekongkol sopir & cs. Udah langganan 3 tahun, dikecewakan terus. Mending belanja toko tetangga biar mereka berkah",1,Negatif
Mau daftar tidak di ACC..khusus warung makan😔,1,Negatif
Sangat membantu untuk usaha,5,Positif
untuk para pedagang gak bisa ngandeli aplikasi ini . soalnya stoknya gak jelas . masa pihak wahyoo nunggu barang kosong dlu baru di isi lagi . trus ngisinya gak bentar bisa berminggu2. jadi mau jualan juga susah kalau stoknya kosong trus .,1,Negatif
"Cepat pengiriman nya,,,",5,Positif
Anter ke lokasi Warung Alafabi 👍👍👍,5,Positif
Ok,5,Positif
"Pengiriman selalu tidak sesuai dengan jam yang di pilih, saya pengguna aktif yang belanja seminggu bisa 4x dan nominal tidak sedikit tapi selalu di kecewakan, udah di bilang warung saya operasionalnya jam 11.00 dan sudha milih jam pengiriman siang, tetap aja di kiri. Pagi jam 07an.. Ga tau aplikasi ini bener2 sampah. Saya belanja disini karena cabe nya seger. Kalo engga malas banget.. Semoga segera dapat t4 yg baru biar ga beli disini. Sumpah hampir tiap kali belanja dibikin kecewa",1,Negatif
"Gak jelas wahyoo,,, tangguhin akun sebelah pihak,,, padahal kurir nya yg gak mau kirim dan konfirmasi pengiriman,,, kacau, sekarang malah akun saya ditangguhkan,,,",1,Negatif
Vocer blnjanya sangat membantu,5,Positif
Sangat membantu,5,Positif
Belanja di wahyoo enak teryata makin puas,5,Positif
Sangat puas,5,Positif
"Alamat pengiriman nya suka kacau... Kasian driver nya.. Udah minta di rubah berkali2 sampai skrg titik maps nya masih aja belum di rubah.... Terus beberapa kali beli ikan basah, kualitasnya gak bagus, terus timbangan berat nya suka gak pas... Walau selisih nya dikit tetep aja berat ga sesuai yg tertera, Dan hr ini sy belanja timun, plastiknya robek, isinya keluar2, dan tomat merahnya bbrp udah mau bonyok...",3,Negatif
Alhamdulillah sdh dtg,5,Positif
Kelamaan....udah kaya aplikator top rangking aja.....,1,Negatif
"Sangat membantu, Harga Kompetitif",5,Positif
Sy puas belanja d wahyoo,4,Positif
Sangat membantu,5,Positif
"Kecewa bget dengan aplikasi ini udh download udh di daftarin sama seles nya kta nya nunggu 2 HR aplikasi aktif tp akhir nya GK di acc jg setelah 2 hari dengan alasan GG kecil dan usahanya tidak memenuhi kriteria pdhal usahaku bener nyata. motor,mobil masih bisa parkir.kesan nya meremehkan usaha orang. jgn lihat dr sebuah jalan tp lihat dr kinerja nya",1,Negatif
Alhamdulillah...barang fresh....memuaskan ....tidak ribet....ngebantu bngt pokonya,5,Positif
Tuker poin kok lama sekali? Sampe 1bulan,5,Positif
Miris .. dah . Telat trs .. download salesnya wa doang gk dateng dateng . Hadeh gk jelas . Mending pake eden.fram lebih jelas . Pengiriman oke,3,Negatif
"Ulasan saya tidak dijawab malah dihapus. Ng berani mengakui kesalahan sendiri, aplikasi ng bisa diandalkan dan super mengecewakan. Sudah di note jam 7 pagi, tetap aj ng ditanggapi, malah tbh parah jam 19.00, Jam 21.00, ng sekalian jam 24.00 aj. Merugikan konsumen sampai ng bisa dagang. Kalau emng ng bisa perbaiki pelayanan, bagusan ng usah layanin konsumen dengan cara ng profesional. Tutup aj aplikasinya. Merugikan orang jutaan, mau di ganti voucher 15000. Emng dagang permen ya...",1,Negatif
Aplikasi yg bagus,5,Positif
haga tdk sesuai ekspektasi sya pikir krn salesnya bilang khusus umkm jd harga hrsnya lbh rendah dr pasaran tp trnyata tidak. pas awal murah krn ktolong promo aja selebihnya tdk lbh murah dr mini market mangkanya stop blanja,3,Negatif
"Jangan download klo ga mau kecewa Lebih dr 4 hr download tp blm bisa transaksi, masih blum di verivikasi alasannya sih sangat kecewa niatnya mau jadi langganan bahan produksi hadeeeeh.",1,Negatif
"Salesnya baik, mas Adie",5,Positif
Sangat membantu karena Ga harus ke pasar,5,Positif
Thnk salesnya baik atas nama adie,5,Positif
Salesnya baik. Terima kasih mas adi,5,Positif
Sales-nya mas Adie baik,5,Positif
Kecewa,1,Negatif
"Pengiriman cepat, kwalitas produk terjamin bagus",5,Positif
Good,5,Positif
Mantap,5,Positif
Oke . Bnyak bonusnya . Masukan : tolongs stoknya diperbanyak . Sering banget mau order stok pada kosong .,5,Positif
Sangat membantu usaha kecil,5,Positif
Mantappppppp pelayanannya,5,Positif
Pengiriman terlalu lama saya nyesel banget.beli disini,1,Negatif
Ok bnget,5,Positif
"Saran saya, saldo yang berasal dari cashback harusnya bisa ditarik ke gopay/ovo/bank,biar makin enak jadinya bukan cuman buat belanja di wahyoo doang, semoga pihak wahyoo bisa mewujudkan ini",3,Negatif
"Apliaksi oke, produk juga oke..tp pengirimannya Parah, Sdh note jam antar pagi ...(5-8) sampai jam 12.00. Harus di PERBAIKI dah DISTRIBUSINYA ..mkn ada SOP utk drivernya ... Hrsnya yg jauh2 di dahulukan...Dan produk yg msuk juga di data...yg duluan taruh di pling belakang..jadi supir ngga susah ambil...trm ksh",3,Negatif
"Dari pecel lele/ayam Ainun dan Warteg Ainun wong Brebes,top poin2nya yg bs di tukar hadiah,mantul hadiah2 tantangannya,sukses sllu tuk apk Wahyoo",5,Positif
Ok,5,Positif
"Pengatateran barang sesuai rute yg terdekat jd supir tdk bolak balik ,kasihan supirnya",5,Positif
mantabz 👍👍👍,5,Positif
Saya dari AGBT KALIFOOD II udah kesekian kali nya pengiriman telat padahal udh di note. tolong di perbaiki pelanggan saya kecewa!,1,Negatif
Sayur2an nya segar2 bagus2 cabe bawangnya jg bagus smoga maju trs deh wahyoo.,5,Positif
Alhamdulillah sudah berlangganan setahun lebih ya smg ada reward bt kita,5,Positif
"Susah kalau belanja pihak penjual kebanyakan ngeles, bukan costumer yang jadi prioritas tapi malah anak buah yang jadi prioritas, buka jasa pengiriman aja kalau gitu, orang semua punya waktu, bukan cuma kurir aja yang punya waktu, masa harus nunggu2 kurir dengan estimasi yang gak jelas, bayangkan jika harus menunggu dari pagi hingga malam, gak jelas waktunya.",1,Negatif
"Aplikasi paling buruk kurir yang selalu bermasalah selalu di pelihara, kurir yang gak bermasalah entah kemana",1,Negatif
Salesnya ramah dan baik mas adi,5,Positif
Good,5,Positif
Good aplikasi,5,Positif
Sangat membantu puas pelanggan,5,Positif
Sales adi ramah dan mengajarkan aplikasi dengan baik,5,Positif
sales adi ramah,5,Positif
Sangat membantu,5,Positif
Knp jg harus foto ktp,1,Negatif
Ok,5,Positif
ok,5,Positif
Good,5,Positif
"Ok... Tepat waktu, bnyk promo",5,Positif
"Mungkin sama waktu awal2 pake apk ini, login susah, orderan pertama ga nyampe, orderan lama dateng, bikin kekinya itu sampe crew di marah2in, hehehehe.. sabar, makin hari makin kece deh ini apk, vouchernya bnyk, cashback, paylater dapet juga, paketan yg harganya murah, point yg bisa di tukar hadiah, tinggal pilih², klik pesen, nyampe besok.. makasih wahyoo, mba astri, bang akbar, imam, rudi.. di tunggu hadiah laennya 😀😀",5,Positif
Bagus aplikasi nya sangat membantu saya,5,Positif
"Sangat mengecewakan.Jelas2 sales blg isi data alamat pengantaran. Ud diisi malah ditanya balik. Bukan alamat di A y? Jelas2 ud by call bahas n nanya bs gak diantar ke lokasi B. N dia blg bs. Ud daftar mau order,semua yg saya butuhkan pdhl umum cabe2 tomat dll semua kosong. Tanya sales Malah sibuk blg aktivasi dl. Minta tlg tanyain stok sebenernya ready gak. Suruh buka app aja ud sesuai.. ud di SS barang kosong masih nanya balik. org jg dr sabar bs jd emosi. NOT RECOMMENDED!!!!",1,Negatif
Membantu,5,Positif
"Sudah coba order,pelayanan cepat,harapannya semoga wahyoo semakin berkembang dan produknya makin banyak ,Sukses Wahyoo,cheers😇",5,Positif
Wkwkwk cari sono pelanggan F&B aneh looo gua pengen belanja aja ga bisa... LOL semoga cepet cepet bangkrut dahhh lo... SOMBONG BGT JADI APLIKASI AJA... MENDING WARPIN GA SOMBONY KAYAK ENTE BOSQUHH,1,Negatif
Sangat membantu.....mantap pokok nya......sukses terus wahyoo.....Aplikasi yg hebat...bisa mewujud kan impian kita semua.....,5,Positif
Muantappp... Salam suksesss.. dari warteg chandra.. semoga kedepanya untuk sayuran di komlit kan lagih,5,Positif
Good leadernya mas Adi,5,Positif
"Warteg suja, leadernya good mas adi",5,Positif
Wahyoo mantap,4,Positif
"Aplikasi AGBT sgt membantu ekonomi utk keluarga kecil sya, yg mana sya sebagai seorang single pareng skaligus mitra AGBT merasa terbantu disaat efek Pandemi Covid 19 spti skrg ini. Semoga berjalan lancar utk rejeki anak2 qu, juga utk Aplikasi Wahyoo nya semakin lebih baik lgi utk pelayanan ke Mitra dan juga ke Konsumen yg sudah pernah beli, maupun pembeli yg baru aja membeli menggunakan aplikasi Wahyoo semoga juga terbantu utk membeli keperluan dan kebutuhan hidup sehari2. Amin🙏🏻🙏🏻🙏🏻😀🙌🙌",5,Positif
Blanja lebih mudah,5,Positif
"Sangat puas belanja di wahyoo banyak vojer belanja,harga lebih murah dari pada di pasar, sayur nya fres masih segar ,ikannya juga segar, ayam nya jg fres , alhamdulillahi apa pun yg saya butuin ada di wahyoo ,pesan sekarang besok langsung di kirim ,pengirimnya juga ramah trimakasih bang Rusli yg setia mengirim barang ke warung saya, trimakasih Wahyoo 😃 yg percaya Keda saya untuk ranting hati, semoga wahyoo semakin sukses ,🤲🤲🤲",5,Positif
Okee,5,Positif
Sangat bermanfaat☺️,5,Positif
Parah keuangan di gofoodnya ngga langsung ontime !!!! Aku sunggu kecewa ikut gofood dari wahyooo,1,Negatif
Bagus bet,5,Positif
Ini buat pengguna pembeli gak bisa ?,1,Negatif
Sangat bagus,5,Positif
Bgus,5,Positif
Mantafff,5,Positif
Belanja lebih mudah gk perlu repot mau jalan semuanya sudah ada,5,Positif
"sangat membantu saya dalam berbelanja dan gak ribet, harga pun gk jauh beda sama harga2 di pasaran",5,Positif
Wah bagus banget,5,Positif
"Gak jelas, tidak recommended",1,Negatif
Sampah,1,Negatif
"Semoga lebih baik lagi,.untuk harga masih mahal dibandingkan harga pasar.lebih komplit lagi untuk persediaan barang.",3,Negatif
:v,5,Positif
"Aplikasi ngga jelas dan tdk kompeten sangat tidak recommend, langsung uninstall .",1,Negatif
Bagus,5,Positif
"Udah daftar, masih verifikasi terus",1,Negatif
Good,5,Positif
Good,5,Positif
Oke,5,Positif
Selalu di hati,5,Positif
ngabisin kuota doang suruh di perbarui tapi tetep ga bisa mengecewakn,1,Negatif
"Alhamdulillah,aq udah bs masuk d aplikasi ini😊😊",5,Positif
"Sudah isi data lengkap, upload KTP dan foto usaha tapi gagal terus saat daftar akun. Sudah menghubungi cs via wa tapi tidak ada tanggapan. Mohon diperbaiki. Tks",1,Negatif
Harganya mahal banget,1,Negatif
Gak usah di download,1,Negatif
Aplikasi gak berguna,1,Negatif
Sangat bermanfaat,5,Positif
Terima kasih wahyoo,5,Positif
"Sangat bermanfaat ,sukses wahyoo",5,Positif
Terimakasih wahyoo,5,Positif
Sangat memuaskan akan pelayanan.. Barang blanjaan juga lbih murah dri yg laen,5,Positif
"Jawa tengah gada ya ? Yah , mana dah daftar. G bs pake",3,Negatif
Good service,5,Positif
"Sangat membantu,sukses terus",5,Positif
Terima kasih wahyoo,5,Positif
"Aplikasi ribet, mau daftar susah ngga bisa2 masuk, payahhhh...sementara 1 bintang dulu",1,Negatif
Smoga lancar yah salesnya luar biasa sopan,5,Positif
Good,5,Positif
Terima kasih,5,Positif
Josslah,5,Positif
Minta dong program nya,5,Positif
Good,5,Positif
Mudahin lagi dong harga2 nya biar makin rajin saya belanjanya,5,Positif
Sangat membantu.,5,Positif
Sangat membantu,5,Positif
Terima kasih,5,Positif
Good aplikasi dan salesnya baik,5,Positif
Super App. Thanks.,1,Negatif
Sangat membantu kami dalam berwirasuasta,4,Positif
Terima kasih wahyoo,5,Positif
"Saya menyesal download aplikasi ini, ini aplikasi gak niat jualan dan harganya mahal.",1,Negatif
"Harganya mahal mahal, lebih baik beli di agen",1,Negatif
"mantabb nih harganya murah, barangnya berkualitas, sangat membantu pemilik warung",5,Positif
Aplikasinya lemot dan verifikasinya juga lama.Buang buang kuota internet aja.,1,Negatif
Aplikasi yang Sangat membantu,5,Positif
Pengalaman saya mengenal wahyu luar biasa sangat membantu saya balesnya pinter2 baik2 terima kasih banyak wahyu smoga semakin sukses kalian punya sales yg luar biasa sabar,5,Positif
Luar biasa,5,Positif
Belum coba belanja... tapi saya lihat menu nya kurang komplit 😁 apa karena masih hari raya idul Fitri,4,Positif
Ga bisa daerah ciracas parah lah,2,Negatif
Good. Belanja kapan saja dan diantar dengan baik. Semua pelayanan sangan profesional. Mari belanja di wahyoo. Sangat rekomendet dan nyaman buat belanja disini.🙂,5,Positif
"Ada sales yg menawarkan kerjasama ayam goreng,mereka menyediakan peralatannya.tp pas di survey hrs menyerahkan uang 500rb kpd surveyornya.br setelah itu di proses",5,Positif
Terima kasih wahyoo disaat lagi ke adaan poldemik covid kau memberi kami rejeki orderan nasi bungkus untuk rantang hati...semoga kau selalu jaya dan tambah sukses ..pokoke ok banget😘😘😘😘👍👍👍👍,5,Positif
"Ngabisin kuota aja, Ternyata hanya untuk usaha warung makan kata online chatnya diaplikasi ini, buat para pengguna jgn download aplikasi kalau bukan usaha warung makan, warung klontong, eceran dll ga bisa, ngabisin kuota aja.",1,Negatif
Aplikasinya mantabbb salesnya pun ramah,5,Positif
Bagus,5,Positif
Sales ali...,5,Positif
Mantap,5,Positif
"Eror, gK bisa masuk, gimana nih admin, kok buat aplikasinya gak bisa masuk, buat pelanggan kesal.",1,Negatif
Ga bs daftar server eror,1,Negatif
"Sms OTP ga nyampe, ga bisa login",5,Positif
Gimana mo ngasih bintang giliran mo verifikasi no telp server nte erorr,1,Negatif
Bakso chak pelita Ali wahyoo keren..sales ali,5,Positif
Bagus sales ali,5,Positif
di coba dulu ya,3,Negatif
"Download udah,,pembaharuan udah,tpi ko susah bngt ga bs d buka2,,gmn saya bisa belanja,,udah lah mnding d hapus saja,,trima kasih wahyoo atas kerja samanya",1,Negatif
Banyak voucer belanja mantul pokoe mas mbakyu,5,Positif
"Aplikasi masih di 2,8blom bisa masuk nih",5,Positif
Sangat mudah,5,Positif
Mantappp ditunggu bisa di semua daerah min,5,Positif
Bagus,5,Positif
Dengan adanya wahyoo belanja ngk ribet lagi harga terjangkau diantar dan kurirnya ramah banget,5,Positif
terima kasih wahyoo,5,Positif
Baru bergabubg sama wahyoo.. Produk bagus dan sales ali setiap minggu datang sukses buat wahyoo,5,Positif
Aplikasi bagus dan bermanfaat untuk.kita belanja sales ramah dan sabar ajarin kita aplikasi warung sampai kita bisa mengunakan aplikasi warung..makasih wahyoo,5,Positif
Dari soto dzaky sales bima..ramah dan sopan..maju trs wahyoo,5,Positif
Terima kasih wahyoo untuk pelayanannya,5,Positif
"Terima kasih wahyoo, semakin tambah maju",5,Positif
"Sangat Bagus,,, tapi tolong diperbanyak lagi seperti di olahan ikan sama bahan segar sayur sayuran 👍",5,Positif
Ok,4,Positif
"Kalo bukan warung makan bisa gabung ga, cuma warung jajanan biasa kecil-kecilan Depan rumah.",3,Negatif
Dari Mulyasari Wahyoo bagus,5,Positif
"Apk gampang dimengerti, pesanannya cepat di anter, bagi kami bisnis pemula ini sangat membantu usaha kami..Terima kasih wahyoo",5,Positif
Warteg pool wahyoo asyik,5,Positif
Baik sekali,5,Positif
Bagus,5,Positif
Ramah dan bagus sales wahyooo maju trs tapi aplikasi update mulu,5,Positif
Bgus sales tyo,5,Positif
Top,5,Positif
Mantap banyakin lgi ya promonya biar blanjanya makin getol,5,Positif
Warteg 3 putra bagus dan sales ali ramah dan sopan..dan pengiriman cepat maju trs dan sukses buat wahyooo,5,Positif
Mantapp,5,Positif
Warteg 57 maju trs wahyoo barang nya murah dan pengiriman cepat saya udh berlangganan lama,5,Positif
Sales nya Chinese,5,Positif
Bakso denkus 88,5,Positif
Bagus dan mantap wahyooo dan sales wah yoo ramah dan sopan maju trs salam dari warteg zidan,5,Positif
Ramah dan bagus..maju terus untuk Wahyooo sales nya orng chinese,5,Positif
Sales ramah ali,5,Positif
"Sangat membantu ,kalau bisa varian produk lebih banyak",5,Positif
Tanjung enim bagus wahyoo,5,Positif
Kenapa tdk bisa verifikasi nomor telepon?,1,Negatif
Dari warnas mami ika bagus sales ramah,5,Positif
Ramah sales Wahyoo sales ali,5,Positif
jg gampang.. praktiss,5,Positif
"Kok saya error ya pas masuk apk nya, pas masuk langsung blank (cuma layar item doang udah), mohon diperbaiki",3,Negatif
terima kasih mas randy permana sudah diajarkan aplikasi ini sangat bermanfaat.sbelumnya saya kebinggungan bawa2 barang dari pasar.sekarang lebih mudah.sukses wahyoo,5,Positif
"Pengiriman barang oke, semuanya oke... terimakasih boss",5,Positif
Terima kasih wahyoo,5,Positif
Bagus aplikasi nya sales Wahyoo ramah dan sopan..,5,Positif
Mantap salam sukses,5,Positif
Salesnya ganteng. Jakbar kembangan,5,Positif
Mantap,5,Positif
"Barngnya murah"" dan semoga tambah komplit aja",5,Positif
Terima kasih wahyoo,5,Positif
Salesnya baik fan ganteng mas ADI,5,Positif
Sukses terus buat wahyooo Klo bsa perbanyak lgi promonya biar makin getol blanja,5,Positif
"Barang"" nya mahal, belum bisa diajak kerja sama . Belum bisa di terima.",2,Negatif
Bagus,5,Positif
Mak8n sukses wahyooo banyakin lgi promonya jangan pelit pelit hehehe salam sukses buat semua😁😁😁,5,Positif
Mantullll,5,Positif
ssukses terus buat wahyoo,5,Positif
"Terus maju wahyoo dan sukses selalu ,Salesnya wahyoo Ramah2 dan sopan",5,Positif
"Sangat ngebantu ada aplikasi sembako di sini ,apalgi sales tyo timur mantap bisa deket sma pemilik""warung klo bisa di pertahankan .maju bersama wahyoo",5,Positif
Bagus nih banyak program yg di tawarkan oleh wahyoo jdi bisa kejar impian but umroh,5,Positif
"Sangat membantu, terima kasih wahyoo",5,Positif
"Ngebntu kit belanja , sles tyo emg rajin",5,Positif
Manta..bagus wahyoo harga murah bgt,5,Positif
Mantap wahyoo,5,Positif
Wahyoo barang murah dan bagus..maju terus untuk wahyoo..dan sales nya ramah..menghadapi masalah apapun di warung,5,Positif
👍👍,5,Positif
Mantap,5,Positif
Sangat bagus,5,Positif
Makasih wahyoo,5,Positif
Bisa membantu utk memingkat kan belanjaan warung .sales tyo dan Randy,5,Positif
"Bos wahyoo nya baek,salesnya sabar, kurirnya ramah..dan yg penting wahyoo sering ngadain piknik gratis buat mas dan mbakyoo..ManTul..",5,Positif
Terlalu gede data ya,5,Positif
Lebih di tingkatkan lagi supaya belanjanya mudah,4,Positif
Ribet susah. Masa harus jdi member dulu klo mo liat ada apa aja didalm warung tsb.,2,Negatif
"bisa ngebantu warung , sales tyo selalu mengajarkan ,mksh utk wahyoo",5,Positif
"Cukup .membantu warung saya , sales tyo timur rajin",5,Positif
"Uninstall aja. Gagal verifikasi nomor hp berkali2, coba pake no lain gagal juga. Udh 3 no hp di coba gagal terus...nya udh Uninstall aja",1,Negatif
Cukup lumayan ngebantu mksh buat sales tyo timur,5,Positif
Manta,5,Positif
"Semoga wahyoo tambah maju , sukses untuk wahyoo dan sales mas adi",5,Positif
matep,5,Positif
saya dari warkop vw jkt timur mnurut saya murah tdk menjamin kebahagiaan warung.buat apa beli barang beda sdikit tapi tidak bahagia yg belinya.saya pribadi senang sekali bergabung di wahyoo sgala kesusahan saya teratasi dan sangat membantu kesejahteraan kluarga saya.sukses trus wahyoo.trimakasi mas randy dan smua kluarga wahyoo.,5,Positif
Cara daftar nya bagaimana? Saya sudah masukkan nomer telp kok gabisa?,1,Negatif
sangat membantu,5,Positif
