,created_at,tweet,score,label
18,Sat May 06 14:23:40 +0000 2023,"@ChatibBasri bukan berarti Indonesia bebas dari risiko resesi. pertumbuhan ekonomi kuartal I-2023 sebesar 5,03% secara year on year (yoy) tidak mencerminkan kondisi riil perekonomian Indonesia karena dibandingkan dengan basis yang rendah pada kuartal I-2022",-1,NEGATIVE
19,Sun May 07 05:40:31 +0000 2023,Isu inflasi dan resesi ekonomi global telah berkembang sejak awal tahun 2023. Hal ini berdampak pada sebagian besar perusahaan rintisan (startup) yang memilih jalan efisiensi dengan melakukan layoff karyawannya. https://t.co/B6zNrnAJMQ,-1,NEGATIVE
20,Fri May 05 10:31:47 +0000 2023,"9. Resesi yang berkepanjangan seperti ini tidak akan menguntungkan untuk eksistensi institusi ekonomi,” ujar Achmad dalam keterangannya di Jakarta, Kamis (4/5/2023).",-1,NEGATIVE
21,Wed May 03 01:06:54 +0000 2023,"Indonesia adalah salah satu dari 2 negara yang kemungkinan terjadinya resesi paling rendah, hanya 2%. Artinya sampai dengan akhir tahun 2023, ekonomi Indonesia akan tetap tumbuh positif. Jadi prestasi Jokowi apalagi yang mau didustakan?",1,POSITIVE
22,Thu May 04 21:13:00 +0000 2023,Indonesia akan jauh dari episentrum resesi ekonomi global 2023. Fundamental ekonomi Indonesia jauh lebih sehat dan kuat serta resilien dibandingkan saat resesi 2008/2009. Tetap fokus pada kekuatan ekonomi domestik. \n#Opini #AdadiKompas\n\nhttps://t.co/AZyTHruphz,1,POSITIVE
23,Thu May 04 21:16:07 +0000 2023,Indonesia akan jauh dari episentrum resesi ekonomi global 2023. Fundamental ekonomi Indonesia jauh lebih sehat dan kuat serta resilien dibandingkan saat resesi 2008/2009. Tetap fokus pada kekuatan ekonomi domestik. #ArtikelOpini #AdadiKompas\nhttps://t.co/qxgHnKhGFu,1,POSITIVE
24,Fri May 05 10:00:01 +0000 2023,Pandemi Covid-19 yang menyebabkan resesi ekonomi dunia tahun 2020 telah meninggalkan warisan masalah bagi perekonomian global saat ini.\n\nFundamen Ekonomi Indonesia\n#Opini 5 Mei 2023\n\nhttps://t.co/3b9fPW6JAw https://t.co/uQXSNyPqgS,-1,NEGATIVE
26,Fri May 05 03:42:20 +0000 2023,"Ekonomi Indonesia 🇮🇩 tumbuh 5,03% di Q1 2023.  Lebih tinggi dari Q4 2022 sebesar 5,01%  \n\nIndonesia juga diprediksi tidak akan mengalami resesi. Indonesia keluar dr pandemi sebagai pemenang\n\nTetapi masih ada banyak fear di Amerika dan Eropa. IHSG masih tertekan belum bisa bulish.",1,POSITIVE
28,Thu May 04 21:13:39 +0000 2023,"Fundamental Ekonomi Indonesia\nIndonesia akan jauh dari episentrum resesi ekonomi global 2023. Fundamental ekonomi Indonesia jauh lebih sehat dan kuat serta resilien dibandingkan saat resesi 2008/2009\nAnton Hendranata,Opini Kompas\nhttps://t.co/mhQwBiF7lW\n@hariankompas  @antonh3g",1,POSITIVE
29,Tue May 02 08:59:47 +0000 2023,"RESESI EKONOMI SUDAN, PENYEBAB DAN SOLUSINYA\n\nDiterjemahkan dari Surat Kabar Al-Rayah edisi 438, terbit pada Rabu, 21 Ramadan 1444 H/12 April 2023 M\nhttps://t.co/pB3dEka4hj",-1,NEGATIVE
30,Wed May 03 01:07:48 +0000 2023,"@stats_feed Indonesia adalah salah satu dari 2 negara yang kemungkinan terjadinya resesi paling rendah, hanya 2%. Artinya sampai dengan akhir tahun 2023, ekonomi Indonesia akan tetap tumbuh positif. Jadi prestasi Jokowi apalagi yang mau didustakan?",1,POSITIVE
31,Sat Apr 29 21:26:02 +0000 2023,"ternyata 2023 bukan resesi ekonomi tapi resesi seks, pertanda apakah manusia benar akan punah? atau ini bentuk dari berhasilnya mengontrol populasi tanpa adanya genosida???",-1,NEGATIVE
32,Wed May 03 07:21:55 +0000 2023,"@tanyakanrl Mau nanya, menurutku kalian ini ada kaitannya dengan resesi ekonomi 2023(?)",1,POSITIVE
33,Fri May 05 03:40:00 +0000 2023,"AS terancam gagal bayar utang jatuh tempo atau default pada awal Juni mendatang, perlukah RI khawatir ? \n\n#Ekonomi #EkonomiIndonesia \nhttps://t.co/fUvb0oldMI",-1,NEGATIVE
34,Sun Apr 30 14:08:33 +0000 2023,Perusahaan ritel fashion GAP akan melakukan PHK terhadap 1.800 karyawannya. Hal ini dilakukan perusahaan sebagai upaya untuk memangkas biaya operasi. https://t.co/oxnCnZ8Pnv,-1,NEGATIVE
35,Sun Apr 30 14:10:32 +0000 2023,Reses dan efek domino ekonomi Global 2023,-1,NEGATIVE
36,Tue Apr 25 18:11:35 +0000 2023,@ssefnum Ancaman Resesi Dunia 2023: Peluang dan Tantangan pada Ekonomi Indonesia,-1,NEGATIVE
37,Tue Apr 25 07:33:17 +0000 2023,Ada sejumlah kalangan yang memprediksi 2023 menjadi tahun yang penuh kegelapan bagi perekonomian global. Lantas bagaimana kontribusi yang bisa dilakukan ekonomi syariah dalam mengawal Indonesia melewati ancaman Resesi 2023? \n\nSaksikan #ECSpecialRamadan episode “PELUANG EKONOMI… https://t.co/Em6IhVV9u4,-1,NEGATIVE
38,Thu Apr 27 13:54:20 +0000 2023,"@myputun @PutunMy Semester ke 2 th 2023. Ekonomi dunia terancam resesi plus paceklik mirip situasi 97-98 ditambah situasi geopolitik jg mencekam dan ancaman pecah perang di Ukraina, laut China Selatan, Timteng dan afrika. Perfect storm!!",-1,NEGATIVE
39,Wed Apr 26 10:29:58 +0000 2023,"Ekspor Indonesia naik lagi!\n\nlibur baru selesai, perdagangan Indonesia udah surplus aja, USD2,91 di Maret 2023!\n\nKenaikan ekspor ini bukti kekuatan ekonomi dan optimisme kita menghadapi resesi global. \n\nMendag terus berusaha meningkatkan perdagangan Indonesia ke luar negeri! https://t.co/Db05mgWmT5",1,POSITIVE
40,Sun Apr 23 16:42:17 +0000 2023,@devandrahg mengatakan bahwa ekonomi Indonesia tahun 2023 akan jatuh pada jurang resesi. Sementara itu Presiden Joko Widodo juga mengatakan bahwa situasi ekonomi dunia tahun 2023 akan gelap.,-1,NEGATIVE
42,Sun Apr 23 17:47:22 +0000 2023,"Prediksi Resesi Ekonomi 2023, Sudahkah Indonesia Mengalaminya? https://t.co/nDASynVzkP",1,POSITIVE
43,Sun Apr 23 16:42:06 +0000 2023,"@devandrahg Pertumbuhan ekonomi 2023 diprakirakan tetap kuat pada kisaran 4,5-5,3%, didorong oleh peningkatan permintaan domestik, baik konsumsi rumah tangga maupun investasi. Indonesia termasuk negara yang juga diramalkan akan mengalami resesi ekonomi. Menteri Keuangan Sri Mulyani —",1,POSITIVE
44,Mon Apr 24 02:15:08 +0000 2023,Harga minyak anjlok ke level terendah sejak Maret 2023 akibat pasokan berlebih dan isu resesi ekonomi Amerika Serikat (AS). https://t.co/SzCBfF96Kx,-1,NEGATIVE
45,Thu Apr 27 03:53:04 +0000 2023,"Dirumorkan bahwa tahun 2023 akan mengalami resesi ekonomi, banyak kalangan yang membicarakannya. https://t.co/V4XlBqvJCn",-1,NEGATIVE
46,Thu Apr 13 07:54:40 +0000 2023,"Ekonomi Inggris gagal tumbuh pada Februari atas aksi mogok pekerja publik yg menghantam output meski kenaikan di Januari melampaui perkiraan, artinya resesi kemungkinan kecil terjadi di awal 2023, data resmi menunjukkan\nhttps://t.co/sPUHEvb9aC\n#EkonomiInggris #PertumbuhanEkonomi https://t.co/hNlNXYTCMg",1,POSITIVE
47,Fri Apr 21 12:02:49 +0000 2023,@serendrine pendapat kamu nih soal resesi ekonomi 2023 sama maraknya konser kpop?,1,POSITIVE
48,Thu Apr 06 12:56:56 +0000 2023,—\nTema: Aksi Nyata Generasi Muda Indonesia dalam Menghadapi\nAncaman Resesi Global 2023\n\nSub-Tema:\na. Politik\nb. Hukum\nc. Ketahanan Pangan\nd. Ekonomi\ne. Industri\n\nMenurut kalian gimana? Menarik kan buat dibahas?? Yuk yuk,1,POSITIVE
49,Thu Apr 06 08:37:19 +0000 2023,"[CORE QUARTERLY REVIEW]\n\nHalo #sobatCORE\n\nSatu kuartal sudah kita lalui di tahun 2023. Kekhawatiran bahwa ekonomi global akan jatuh pada jurang resesi saat ini meningkat, menyusul beberapa gejolak termasuk yang terjadi pada sektor perbankan. https://t.co/UDOMHsVz3Y",-1,NEGATIVE
50,Sun Apr 16 00:00:18 +0000 2023,"Beberapa waktu lalu, menteri keuangan Sri Mulyani memproyeksikan dunia akan memasuki resesi pada tahun 2023. Hal ini disebabkan karena sebagian besar negara meningkatkan suku bunga secara bersamaan sehingga berimplikasi pada krisis pasar keuangan dan pelemahan ekonomi\n:bagaimana?",-1,NEGATIVE
51,Mon Apr 10 05:06:59 +0000 2023,Jurus jitu Pemerintah hadapi Resesi 2023! #ekonomi https://t.co/Ry1NI1jM6N,1,POSITIVE
52,Wed Apr 12 02:25:44 +0000 2023,"UMKM menjadi penentu ekonomi nasional. Ancaman resesi global secara nyata berdampak bagi perekonomian dunia dimana menurut data bank dunia terjadinya pelambatan pertumbuhan ekonomi global dari dari 5,7% pada 2021 menjadi 2,3% di Tahun 2023. \n\n#kejaksaanri #repost https://t.co/nE7Au64eVZ",-1,NEGATIVE
53,Sun Apr 16 22:09:22 +0000 2023,@akunbarusalsa21 Bantu jawab y beb. Karna tahun 2023 dunia sedang mengalami resesi ekonomi akibat pandemi covid tahun sebelumnya &amp; karna perang rusia-ukraina yg masih berlangsung.,-1,NEGATIVE
54,Sun Apr 09 11:29:47 +0000 2023,"Resesi ekonomi global diperkirakan akan datang pada tahun 2023. Di tengah situasi ketidakpastian ekonomi yang kian meningkat, Usaha Mikro Kecil dan Menengah (UMKM) bisa menjadi penyelamat jika kehadirannya dapat dimaksimalkan.\n\nhttps://t.co/k3UXRotFV5",1,POSITIVE
55,Sun Apr 16 14:23:11 +0000 2023,"The world's economy are currently facing the threat of a recession in 2023. This can be seen from the increase in central bank reference rates in some countries.\n\nPreviously, it was said that the Indonesian economy could fall into a recession in 2023.\n\n#SEAToday #resesi #ekonomi https://t.co/cLRYrp7QHt",-1,NEGATIVE
56,Sun Apr 09 06:38:03 +0000 2023,"KULIAH MALAM BERSAMA GURU BESAR FEB UGM💫\n\nCeramah Tarawih \n[Ahad, 9 April 2023] \n📚 Menakar Resiliensi Sistem Ekonomi Nasional di Tengah Ancaman Resesi Global"" \n👳🏻‍♂️ Prof. Wihana Kirana Jaya, https://t.co/VW85xOpp6i., Ph.D.\n(Guru Besar FEB UGM) \n\n#Ramadan29SKS\n#JadiPemimpin https://t.co/v3D4Nq2pDc""",1,POSITIVE
57,Fri Apr 14 12:14:20 +0000 2023,"Direktur Utama Indonesia Re, Benny Waworuntu turut serta sebagai salah satu pembicara dalam webinar Peran BUMN sebagai Benteng Perekonomian Nasional di Tengah Ancaman Resesi Global 2023 yang diselenggarakan oleh Warta Ekonomi secara daring (13/3). https://t.co/eGBOCoJGw6",1,POSITIVE
58,Tue Apr 18 11:38:00 +0000 2023,Harga komoditas global pun mengalami fluktuasi yang signifikan pada tahun 2023. Apa yang menyebabkan perekonomian global tumbuh lambat pada tahun ini? Simak selengkapnya pada infografis berikut\n\n#ekonomiglobal #komoditas #resesi #ekonomi #COREinsight #COREIndonesia https://t.co/77ashph1dC,-1,NEGATIVE
59,Tue Apr 18 01:55:04 +0000 2023,Pertanian Keluarga Solusi Menghadapi Resesi Ekonomi 2023  https://t.co/bmdv3JR5Hl,1,POSITIVE
60,Fri Apr 21 11:52:17 +0000 2023,Peran Sentral Manajemen Risiko dalam Mendukung Ketahanan Ekonomi era 5.0 VUCA di Tengah Isu Resesi Global 2023 https://t.co/QRpiilqxab,1,POSITIVE
61,Tue Apr 18 09:34:39 +0000 2023,• Lomba Esai dan Infografis ACE 2023 “Inovasi Pengelolaan Keuangan oleh Milenial sebagai Titik Terang Indonesia Menghadapi Ancaman Resesi Ekonomi 2023”\nSave the Date‼️\nPendaftaran: 20 Februari - 02 Mei 2023\nMore information: @ace.accounting,1,POSITIVE
62,Sun Apr 23 13:38:35 +0000 2023,"resesi pada tahun 2023 hal ini dikarenakan kenaikan suku bunga acuan bank sentral di beberapa negara secara bersamaan, yang kemudian hal ini akan memperlambat pertumbuhan ekonomi, maka dari itu dapat di peroyeksikan bahwa sejumlah negara akan menghadapi resesi, dapat kita lihat",-1,NEGATIVE
63,Thu Apr 13 03:29:06 +0000 2023,"Presentasi Lomba BUMDesa Tahun 2023, tahapan seleksi di DPMD Kabupaten Tulungagung\n\n30 Januari 2023\nRentetan isu resesi ekonomi terus mengingatkan kita untuk meletakan pemilihan, pendirian, dan pengembangkan bisnis BUMDesa yang adaptif sebagai salah satu prioritas perencanaan. https://t.co/Dxs06jCU6v",1,POSITIVE
64,Thu Apr 13 02:12:42 +0000 2023,"Reportase bursa Global: \n*Trend penurunan inflasi berlanjut, perhatikan rilis angka PPI di Kamis malam. \n*US banking crisis akan mendorong US kearah resesi ekonomi di paruh kedua 2023. https://t.co/7EZg6CPoFq",-1,NEGATIVE
65,Sun Apr 16 03:53:23 +0000 2023,"Di tahun 2023, meski diprediksi akan ada resesi ekonomi, namun weton-weton ini masih bisa mencapai kejayaan dan rezeki lancar.\n\n#portalyogya #weton #PrimbonJawa \n\nhttps://t.co/ud2cq5XRxW",1,POSITIVE
66,Tue Mar 21 15:04:39 +0000 2023,"Kalau 2022 adalah tahun yg sulit bagi ekonomi global, maka tahun 2023 akan menjadi lebih buruk dengan resesi yang membayangi. Tapi, prediksi itu tidak akan semuanya jadi malapetaka.\nPerppu Ciptaker Sah #LawanKrisisGlobal https://t.co/Fx4nbX3sHX",-1,NEGATIVE
67,Mon Apr 03 15:12:55 +0000 2023,"Di tengah keresahan isu resesi global 2023 yang masih berlanjut, pemilihan kebijakan yang berkelanjutan dan responsif terhadap perubahan menjadi langkah krusial dalam menguatkan pondasi ekonomi. \n\nSEBUAH UTAS https://t.co/ASPWRKfS3U",1,POSITIVE
68,Tue Mar 21 15:49:24 +0000 2023,Wamenkeu mengatakan Indonesia memasuki tahun 2023 dengan ketidakpastian ekonomi yang tinggi karena menghadapi ancaman resesi global. Sepertiga negara di dunia terancam mengalami resesi. #LawanKrisisGlobal,-1,NEGATIVE
70,Thu Mar 23 06:51:33 +0000 2023,Beberapa tokoh yang masih dalam konfirmasi seperti Sri Mulyani Indrawati yang dijadwalkan mengisi RPL pada Minggu (9/4/2023) dengan tema Menakar Resiliensi Sistem Ekonomi Nasional di Tengah Ancaman Resesi Global.\n\nBaca berita selengkapnya:\nhttps://t.co/BtQqqsNiJ1,1,POSITIVE
71,Fri Mar 24 12:15:50 +0000 2023,Tubuh dan darah-Nya bukan lagi roti dan anggur tapi jadi jeli dan susu. Apakah ini efek resesi ekonomi 2023,1,POSITIVE
72,Thu Mar 23 13:22:13 +0000 2023,"Most of my business customers are people of western Europe and the most competent are the United States, but since the #RussiaUkraine war broke out my product sales have decreased.\nTak Cuma Resesi IMF, 15 Ramalan Suram Ekonomi Dunia 2023 – Digital Ekonomi https://t.co/DJicFBoBno",-1,NEGATIVE
73,Mon Mar 27 02:57:45 +0000 2023,@ethevoe menurut aku sih kamu lagi mikirin udah hampir setengah tahun tapi topik resesi ekonomi 2023 kok udah gak trending lagi,1,POSITIVE
74,Sat Mar 18 00:58:59 +0000 2023,"• Lomba Essay dan Infografis ACE 2023 “Inovasi Pengelolaan Keuangan Oleh\nMilenial Sebagai Titik Terang Indonesia Menghadapi Ancaman Resesi Ekonomi 2023.\nSave the Date‼️\nPendaftaran: 20 Februari - 2 Mei 2023\nMore information: @ace.accounting""",1,POSITIVE
75,Fri Mar 24 05:30:39 +0000 2023,Nampaknya segar https://t.co/OJ7dI7mXWh,1,POSITIVE
76,Sat Mar 25 06:03:55 +0000 2023,"Jadi, yg beberapa bulan lalu ngomongin ekonomi 2023 gelap, resesi,dll.\nYg pertama kali hembusin isu (bukan gaungan influencer2) mungkin emang tau kali ya bakal ada kejadian kayak di akhir2 ini terjadi",-1,NEGATIVE
77,Sat Mar 25 10:09:49 +0000 2023,"Pakar ekonomi akhir 2022: 2023 resesi itu bukan masalah besar blablabla""\n \n- Sari Roti roti sobek naik dari 13k &gt",1,POSITIVE
78,Wed Mar 29 06:09:19 +0000 2023,"NO RESESI ! \nIMF: Pertumbuhan ekonomi RI 2023 naik 5% dari prediksi 4,8%, tumbuh sehat &amp; kuat, didorong pemulihan permintaan DN dan kinerja ekspor solid. Sukses turunkan inflasi, sistem keuangan stabil &amp; tangguh. https://t.co/6gh9kGX1lG\n@FaisalBasri @gundala2221 @bwinarso99",1,POSITIVE
79,Tue Apr 04 08:10:47 +0000 2023,Semoga dengan adanya ancaman resesi global 2023 tak menurunkan angka pertumbuhan ekonomi Jatim\n\n#emildardak #wagubjatim #jawatimur #pertumbuhanekonomi #ekonomi #pariwisata #fypシ゚viral https://t.co/JVTIOC2SYA,1,POSITIVE
80,Sun Mar 26 05:45:05 +0000 2023,Siap Menghadapi Resesi Ekonomi Global 2023? https://t.co/GeymCMx6ek,1,POSITIVE
81,Mon Apr 03 05:31:55 +0000 2023,@Vendra_Deje Memasuki 2023 harga minyak merosot tajam karena pasar lesu dibayangi ancaman resesi ekonomi. Pada kondisi resesi permintaan (demand) minyak menurun. Jika penawaran (supply) tetap sama maka harga akan semakin jatuh. Dari aspek ini keputusan OPEC+ mengurangi produksi itu tdk aneh.,-1,NEGATIVE
82,Fri Mar 24 11:58:37 +0000 2023,"IMF Proyeksi Ekonomi Indonesia 2023 Tumbuh 5 Persen, Aman dari Resesi? https://t.co/5MV62abEWe",1,POSITIVE
83,Tue Mar 21 15:03:11 +0000 2023,Indonesia memasuki tahun 2023 dengan ketidakpastian ekonomi yang tinggi karena menghadapi ancaman resesi global.\n\nPerppu Ciptaker Sah #LawanKrisisGlobal,-1,NEGATIVE
84,Sun Apr 02 13:22:49 +0000 2023,"Pantes tahun 2023 bakal terjadi resesi ekonomi, org duitnya pada di korupsi sama pejabat semua. cuak!\n\nSemoga para pejabat korupsi matinya ga mati mati 😭",-1,NEGATIVE
85,Sun Apr 02 22:20:19 +0000 2023,"@MelesetDikit Indonesia sarang koruptor, korupsi, pencucian uang... siap-siap saja resesi ekonomi Indonesia terjadi 2023 ini...",-1,NEGATIVE
86,Fri Mar 24 13:56:36 +0000 2023,"Setelah Credit Suisse, kali ini giliran Deutsche Bank yg bermasalah\n\nSahamnya turun hingga -15% seiring naiknya credit default swap bank tsb. Artinya ada kenaikan potensi default\n\nBtw Deutche Bank adalah bank terbesar di Jerman, yang merupakan ekonomi terbesar di Eropa https://t.co/ktxpb6SHzw",-1,NEGATIVE
87,Wed Apr 05 07:39:23 +0000 2023,"Giat Kasi Ekbang Kec.Coblong membuka acara pendampingan UMKM Wirausaha baru dengan tema 2023 RESESI EKONOMI, APA YANG UMKM COBLONG SIAPKAN?"" Bertempat di rooftop kecamatan Coblong.\nRabu, 5 April 2023\n.\n#BandungNuUrang\n#coblongjitu https://t.co/YqWhnomLDi""",1,POSITIVE
88,Thu Mar 16 10:40:12 +0000 2023,Indonesia kabarnya bakal mengalami resesi ekonomi pada tahun 2023 setinggi 3% lebih rendah dibandingkan negara Asia lainnya yang bisa mencapai 85%,1,POSITIVE
89,Mon Mar 13 11:18:07 +0000 2023,Legislator Nasdem dari dapil NTB II mengatakan pelaku usaha UMKM memiliki jiwa yang tangguh dalam mengahadapi ancaman resesi ekonomi di tahun 2023\n#ItsTimeRestorasiIndonesia\n#NasdemNo5\n#AniesPresidenku https://t.co/jIo0Oj9E5e,1,POSITIVE
90,Mon Mar 13 11:49:28 +0000 2023,Mantap emang para pelaku UMKM ini memiliki jiwa tangguh untuk hadapi resesi ekonomi tahun 2023 #ItsTimeRestorasiIndonesia\n#NasdemNo5\n#AniesPresidenku https://t.co/KPZdq7g9Nj,1,POSITIVE
91,Mon Mar 13 11:07:52 +0000 2023,Legislator Nasdem dari dapil NTB II yakin para pelaku UMKM memiliki jiwa tangguh dalam menghadapi ancaman resesi ekonomi tahun 2023.\n#ItsTimeRestorasiIndonesia\n#NasdemNo5\n#AniesPresidenku https://t.co/DdmH6oFJO2,1,POSITIVE
92,Wed Mar 15 06:39:56 +0000 2023,"UMKM akan Jadi Penyelamat Resesi 2023, Apa Iya? | Kuntum Khaira Ummah\n\nKondisi ekonomi global sedang tidak baik-baik saja. Hal ini memicu terjadinya resesi ekonomi yang menjadi hantu menyeramkan bagi negara dunia, tak terkecuali Indonesia. Namun Menteri Keuangan Sri Mulyani a https://t.co/5Qrm9VAbei",-1,NEGATIVE
93,Wed Mar 15 14:28:48 +0000 2023,"Jokowi bener, hati2 resesi 2023. Menunggu resesi ekonomi, datang resesi hati.",-1,NEGATIVE
94,Thu Mar 16 04:37:11 +0000 2023,TAHUN 2023 akan menjadi tahun politik yang berpotensi memicu konflik dan polemik. Juga tahun ketidakpastian ekonomi karena ancaman resesi global yang berpotensi akan terjadi di negeri ini.\n\nhttps://t.co/EGwnHLIDHa.,-1,NEGATIVE
95,Mon Mar 13 11:48:51 +0000 2023,Lagi bahas resesi ekonomi 2023 makanya serius,1,POSITIVE
96,Wed Mar 15 05:22:08 +0000 2023,"BAYANG-BAYANG GELAP RESESI DAN CAHAYA ISLAM \n\nTahun ini, ketika kita semua berhadapan dengan kenaikan harga, peningkatan kos.. https://t.co/GSahNveJ8f\n\n#ekonomiglobal #resesiekonomi2023 #ekonomi2023 https://t.co/G4IShh7EMr",-1,NEGATIVE
97,Thu Mar 16 10:40:11 +0000 2023,Akhir-akhir ini sering gak sih denger kabar kalau Indonesia bakal ngalamin resesi ekonomi di tahun 2023? https://t.co/L6kIp5bI6T,1,POSITIVE
98,Thu Mar 16 05:02:03 +0000 2023,"Meski kondisi ekonomi global masih diliputi ketidakpastian, namun Bank Indonesia (BI) memastikan Indoenesia aman dari resesi. #ekonmitumbuh #pemerintahhebat #indonesiamaju #indonesia #jokowi #jokowipresidentkita #nusantara #RI1 #fyp #viral #2023 #2024 https://t.co/RqCIazjAIJ",1,POSITIVE
99,Thu Mar 16 04:47:12 +0000 2023,"Meski kondisi ekonomi global masih diliputi ketidakpastian, namun Bank Indonesia (BI) memastikan Indoenesia aman dari resesi.#ekonmitumbuh #pemerintahhebat #indonesiamaju #indonesia #jokowi #jokowipresidentkita #nusantara #RI1 #fyp #viral #2023 #2024 https://t.co/wqnLKboNs5",1,POSITIVE
100,Mon Mar 13 14:44:47 +0000 2023,"Di tengah ancaman resesi ekonomi, 5 weton ini justru berpeluang mendapatkan rezeki berlimpah dan hidup makmur di tahun 2023.\n\n#portalyogya #PrimbonJawa #weton \n\nhttps://t.co/Eq7F5oMdgB",1,POSITIVE
101,Wed Mar 15 09:39:20 +0000 2023,"UMKM akan Jadi Penyelamat Resesi 2023, Apa Iya? | Kuntum Khaira Ummah\n\nKondisi ekonomi global sedang tidak baik-baik saja. Hal ini memicu terjadinya resesi ekonomi yang menjadi hantu menyeramkan bagi negara dunia, tak terkecuali Indonesia. \n\nhttps://t.co/6HvCPRieE5 https://t.co/dy0niKBauA",-1,NEGATIVE
102,Sat Mar 18 00:52:24 +0000 2023,"Tahun 2023, resesi ekonomi\n\nUdah terjadi, efek pandemi covid menumpuk di tahun ini\n#indonesiaviral #indonesia #EkonomiKuat #2024 https://t.co/ohR7zuWubo",-1,NEGATIVE
103,Tue Mar 14 15:20:02 +0000 2023,"Suku bunga FFR 2007 : +4,25%; FFR 2023: +4,5%-4,75% (amrik). Jadi ada kemiripan tingkat suku bunga, saat pra Krisis Ekonomi 2008 n pra Resesi 2023.",-1,NEGATIVE
