,content,score,Label,cleansing,normalized,Tokenization,Stopword_Removal,Stemmed
10,"sangat memudahkan para umkm dalam urusan berbelanja, sehingga kami para umkm dapat fokus ke lain hal dalam pengembangan usaha kami, terima kasih wahyoo...",5,Positif,sangat memudahkan para umkm dalam urusan berbelanja  sehingga kami para umkm dapat fokus ke lain hal dalam pengembangan usaha kami  terima kasih wahyoo ,sangat memudahkan para umkm dalam urusan berbelanja sehingga kami para umkm dapat fokus ke lain hal dalam pengembangan usaha kami terima kasih wahyoo,"['sangat', 'memudahkan', 'para', 'umkm', 'dalam', 'urusan', 'berbelanja', 'sehingga', 'kami', 'para', 'umkm', 'dapat', 'fokus', 'ke', 'lain', 'hal', 'dalam', 'pengembangan', 'usaha', 'kami', 'terima', 'kasih', 'wahyoo']","['memudahkan', 'umkm', 'urusan', 'berbelanja', 'umkm', 'fokus', 'pengembangan', 'usaha', 'terima', 'kasih', 'wahyoo']",mudah umkm urus belanja umkm fokus kembang usaha terima kasih wahyoo
11,aplikasi yang sangat membantu kebutuhan memasak,5,Positif,aplikasi yang sangat membantu kebutuhan memasak,aplikasi yang sangat membantu kebutuhan memasak,"['aplikasi', 'yang', 'sangat', 'membantu', 'kebutuhan', 'memasak']","['aplikasi', 'membantu', 'kebutuhan', 'memasak']",aplikasi bantu butuh masak
12,"makin mantab ini, makin berkembang dan jost",5,Positif,makin mantab ini  makin berkembang dan jost,makin mantab ini makin berkembang dan jost,"['makin', 'mantab', 'ini', 'makin', 'berkembang', 'dan', 'jost']","['mantab', 'berkembang', 'jost']",mantab kembang jost
13,"kualitas barang tidak bagus, setiap hari saya pesan di sini, harga mahal saya tidak ada masalah, tapi kalau udah harga mahal cabe pada busuk semua saya konfimasih ke pihak bersangkutan tidak ada kembalian dana atau apa pun. ada bail nya sebelom di kirim barang cek kualitas kita beli mahal buat kualitas produk, bukan beli mahal buat kualitas jelek",1,Negatif,kualitas barang tidak bagus  setiap hari saya pesan di sini  harga mahal saya tidak ada masalah  tapi kalau udah harga mahal cabe pada busuk semua saya konfimasih ke pihak bersangkutan tidak ada kembalian dana atau apa pun  ada bail nya sebelom di kirim barang cek kualitas kita beli mahal buat kualitas produk  bukan beli mahal buat kualitas jelek,kualitas barang tidak bagus setiap hari saya pesan di sini harga mahal saya tidak ada masalah tapi kalau sudah harga mahal cabe pada busuk semua saya konfimasih ke pihak bersangkutan tidak ada kembalian dana atau apa pun ada bail nya sebelum di kirim barang cek kualitas kita beli mahal buat kualitas produk bukan beli mahal buat kualitas jelek,"['kualitas', 'barang', 'tidak', 'bagus', 'setiap', 'hari', 'saya', 'pesan', 'di', 'sini', 'harga', 'mahal', 'saya', 'tidak', 'ada', 'masalah', 'tapi', 'kalau', 'sudah', 'harga', 'mahal', 'cabe', 'pada', 'busuk', 'semua', 'saya', 'konfimasih', 'ke', 'pihak', 'bersangkutan', 'tidak', 'ada', 'kembalian', 'dana', 'atau', 'apa', 'pun', 'ada', 'bail', 'nya', 'sebelum', 'di', 'kirim', 'barang', 'cek', 'kualitas', 'kita', 'beli', 'mahal', 'buat', 'kualitas', 'produk', 'bukan', 'beli', 'mahal', 'buat', 'kualitas', 'jelek']","['kualitas', 'barang', 'bagus', 'pesan', 'harga', 'mahal', 'harga', 'mahal', 'cabe', 'busuk', 'konfimasih', 'bersangkutan', 'kembalian', 'dana', 'bail', 'nya', 'kirim', 'barang', 'cek', 'kualitas', 'beli', 'mahal', 'kualitas', 'produk', 'beli', 'mahal', 'kualitas', 'jelek']",kualitas barang bagus pesan harga mahal harga mahal cabe busuk konfimasih sangkut kembali dana bail nya kirim barang cek kualitas beli mahal kualitas produk beli mahal kualitas jelek
14,belanja jadi mudah🥰,5,Positif,belanja jadi mudah,belanja jadi mudah,"['belanja', 'jadi', 'mudah']","['belanja', 'mudah']",belanja mudah
15,bagus & sangat membantu,5,Positif,bagus   sangat membantu,bagus sangat membantu,"['bagus', 'sangat', 'membantu']","['bagus', 'membantu']",bagus bantu
16,senang belanja di wahyoo,5,Positif,senang belanja di wahyoo,senang belanja di wahyoo,"['senang', 'belanja', 'di', 'wahyoo']","['senang', 'belanja', 'wahyoo']",senang belanja wahyoo
17,sesimpel itu bertransaksi.. terimakasih sudah mempermudah..,5,Positif,sesimpel itu bertransaksi  terimakasih sudah mempermudah ,sesimpel itu bertransaksi terimakasih sudah mempermudah,"['sesimpel', 'itu', 'bertransaksi', 'terimakasih', 'sudah', 'mempermudah']","['sesimpel', 'bertransaksi', 'terimakasih', 'mempermudah']",simpel transaksi terimakasih mudah
18,"produknya seger,kualitas bagus, pengiraman cepat, skrng bs pakai paylater, jadi nya bs buat nambah modal buat usaha.",5,Positif,produknya seger kualitas bagus  pengiraman cepat  skrng bs pakai paylater  jadi nya bs buat nambah modal buat usaha ,produknya seger kualitas bagus pengiraman cepat skrng bisa pakai paylater jadi nya bisa buat nambah modal buat usaha,"['produknya', 'seger', 'kualitas', 'bagus', 'pengiraman', 'cepat', 'skrng', 'bisa', 'pakai', 'paylater', 'jadi', 'nya', 'bisa', 'buat', 'nambah', 'modal', 'buat', 'usaha']","['produknya', 'seger', 'kualitas', 'bagus', 'pengiraman', 'cepat', 'skrng', 'pakai', 'paylater', 'nya', 'nambah', 'modal', 'usaha']",produk seger kualitas bagus iram cepat skrng pakai paylater nya nambah modal usaha
19,"aplikasi sangat membantu untuk umkm seluruh jabodetabek , sangat fast respon dan keren !",5,Positif,aplikasi sangat membantu untuk umkm seluruh jabodetabek   sangat fast respon dan keren  ,aplikasi sangat membantu untuk umkm seluruh jabodetabek sangat fast respon dan keren,"['aplikasi', 'sangat', 'membantu', 'untuk', 'umkm', 'seluruh', 'jabodetabek', 'sangat', 'fast', 'respon', 'dan', 'keren']","['aplikasi', 'membantu', 'umkm', 'jabodetabek', 'fast', 'respon', 'keren']",aplikasi bantu umkm jabodetabek fast respon keren
20,"belanja hemat harga pas gak perlu kepasar sdh dapet harga suplier dan bahan baku lengkap,barang dikirim sampe rumah gak khawatir macet,panas atw hujan.yang paling penting ada poin utk ditukar voucher belanja.terima kasih wahyoo😇",5,Positif,belanja hemat harga pas gak perlu kepasar sdh dapet harga suplier dan bahan baku lengkap barang dikirim sampe rumah gak khawatir macet panas atw hujan yang paling penting ada poin utk ditukar voucher belanja terima kasih wahyoo,belanja hemat harga pas tidak perlu kepasar sudah dapat harga suplier dan bahan baku lengkap barang dikirim sampai rumah tidak khawatir macet panas atau hujan yang paling penting ada poin untuk ditukar voucher belanja terima kasih wahyoo,"['belanja', 'hemat', 'harga', 'pas', 'tidak', 'perlu', 'kepasar', 'sudah', 'dapat', 'harga', 'suplier', 'dan', 'bahan', 'baku', 'lengkap', 'barang', 'dikirim', 'sampai', 'rumah', 'tidak', 'khawatir', 'macet', 'panas', 'atau', 'hujan', 'yang', 'paling', 'penting', 'ada', 'poin', 'untuk', 'ditukar', 'voucher', 'belanja', 'terima', 'kasih', 'wahyoo']","['belanja', 'hemat', 'harga', 'pas', 'kepasar', 'harga', 'suplier', 'bahan', 'baku', 'lengkap', 'barang', 'dikirim', 'rumah', 'khawatir', 'macet', 'panas', 'hujan', 'poin', 'ditukar', 'voucher', 'belanja', 'terima', 'kasih', 'wahyoo']",belanja hemat harga pas pasar harga suplier bahan baku lengkap barang kirim rumah khawatir macet panas hujan poin tukar voucher belanja terima kasih wahyoo
21,bagus banget sangat membantu untuk kalangan menengah kebawah khususnya umkm dan warnas yang ada di jabodetabek,5,Positif,bagus banget sangat membantu untuk kalangan menengah kebawah khususnya umkm dan warnas yang ada di jabodetabek,bagus banget sangat membantu untuk kalangan menengah kebawah khususnya umkm dan warnas yang ada di jabodetabek,"['bagus', 'banget', 'sangat', 'membantu', 'untuk', 'kalangan', 'menengah', 'kebawah', 'khususnya', 'umkm', 'dan', 'warnas', 'yang', 'ada', 'di', 'jabodetabek']","['bagus', 'banget', 'membantu', 'kalangan', 'menengah', 'kebawah', 'umkm', 'warnas', 'jabodetabek']",bagus banget bantu kalang tengah bawah umkm warnas jabodetabek
22,"sekarang sdh jarang belanja di wahyoo,semenjak ada perubahan baru menimal belanja 800rb untuk pengiriman siang, menimal 1juta untuk pengiriman pagi, biaya ongkir 25rb - 35 ribu, yg jadi pertanyaan kalau barang yg kita butuhkan komplit tidak masalah, biarpun ongkirnya 50ribu, ini barang nya juga seringkali kosong2 , harga nya juga jauh lebih mahal2, sblmnya sy belanja 110juta/3bln , sekarang 10jt /bln, jika wahyoo tidak memperbaiki nya lama2 kehilangan pelanggan",1,Negatif,sekarang sdh jarang belanja di wahyoo semenjak ada perubahan baru menimal belanja    rb untuk pengiriman siang  menimal  juta untuk pengiriman pagi  biaya ongkir   rb      ribu  yg jadi pertanyaan kalau barang yg kita butuhkan komplit tidak masalah  biarpun ongkirnya   ribu  ini barang nya juga seringkali kosong    harga nya juga jauh lebih mahal   sblmnya sy belanja    juta  bln   sekarang   jt  bln  jika wahyoo tidak memperbaiki nya lama  kehilangan pelanggan,sekarang sudah jarang belanja di wahyoo semenjak ada perubahan baru menimal belanja rb untuk pengiriman siang menimal juta untuk pengiriman pagi biaya ongkos kirim rb ribu yang jadi pertanyaan kalau barang yang kita butuhkan komplit tidak masalah biarpun ongkirnya ribu ini barang nya juga seringkali kosong harga nya juga jauh lebih mahal sblmnya saya belanja juta bulan sekarang jt bulan jika wahyoo tidak memperbaiki nya lama kehilangan pelanggan,"['sekarang', 'sudah', 'jarang', 'belanja', 'di', 'wahyoo', 'semenjak', 'ada', 'perubahan', 'baru', 'menimal', 'belanja', 'rb', 'untuk', 'pengiriman', 'siang', 'menimal', 'juta', 'untuk', 'pengiriman', 'pagi', 'biaya', 'ongkos', 'kirim', 'rb', 'ribu', 'yang', 'jadi', 'pertanyaan', 'kalau', 'barang', 'yang', 'kita', 'butuhkan', 'komplit', 'tidak', 'masalah', 'biarpun', 'ongkirnya', 'ribu', 'ini', 'barang', 'nya', 'juga', 'seringkali', 'kosong', 'harga', 'nya', 'juga', 'jauh', 'lebih', 'mahal', 'sblmnya', 'saya', 'belanja', 'juta', 'bulan', 'sekarang', 'jt', 'bulan', 'jika', 'wahyoo', 'tidak', 'memperbaiki', 'nya', 'lama', 'kehilangan', 'pelanggan']","['jarang', 'belanja', 'wahyoo', 'semenjak', 'perubahan', 'menimal', 'belanja', 'rb', 'pengiriman', 'siang', 'menimal', 'juta', 'pengiriman', 'pagi', 'biaya', 'ongkos', 'kirim', 'rb', 'ribu', 'barang', 'butuhkan', 'komplit', 'biarpun', 'ongkirnya', 'ribu', 'barang', 'nya', 'seringkali', 'kosong', 'harga', 'nya', 'mahal', 'sblmnya', 'belanja', 'juta', 'jt', 'wahyoo', 'memperbaiki', 'nya', 'kehilangan', 'pelanggan']",jarang belanja wahyoo semenjak ubah menimal belanja rb kirim siang menimal juta kirim pagi biaya ongkos kirim rb ribu barang butuh komplit biarpun ongkirnya ribu barang nya seringkali kosong harga nya mahal sblmnya belanja juta jt wahyoo baik nya hilang langgan
23,wahyoo is the best bagi saya,5,Positif,wahyoo is the best bagi saya,wahyoo is the best bagi saya,"['wahyoo', 'is', 'the', 'best', 'bagi', 'saya']","['wahyoo', 'is', 'the', 'best']",wahyoo is the best
24,"cuma mau mau bilang kembalikan aja sistemnya sprti tahun 2022...sekarang ga bisa belanja sdikit,sedangkan kita warung kecil",1,Negatif,cuma mau mau bilang kembalikan aja sistemnya sprti tahun      sekarang ga bisa belanja sdikit sedangkan kita warung kecil,cuma mau mau bilang kembalikan saja sistemnya seperti tahun sekarang tidak bisa belanja sdikit sedangkan kita warung kecil,"['cuma', 'mau', 'mau', 'bilang', 'kembalikan', 'saja', 'sistemnya', 'seperti', 'tahun', 'sekarang', 'tidak', 'bisa', 'belanja', 'sdikit', 'sedangkan', 'kita', 'warung', 'kecil']","['bilang', 'kembalikan', 'sistemnya', 'belanja', 'sdikit', 'warung']",bilang kembali sistem belanja sdikit warung
25,barang2 diwahyoo mahal2 jadi malas blnja dusini,3,Negatif,barang  diwahyoo mahal  jadi malas blnja dusini,barang diwahyoo mahal jadi malas blnja dusini,"['barang', 'diwahyoo', 'mahal', 'jadi', 'malas', 'blnja', 'dusini']","['barang', 'diwahyoo', 'mahal', 'malas', 'blnja', 'dusini']",barang diwahyoo mahal malas blnja dusin
26,"wahyoo sekarang banyak ngecewain pelanggan.... jadi males kalau order lagi, aturan kayak yg kemarin aja, jangan kayak begini... kalau masih begini terus menerus lama² pailit karna konsumen pada kabur, tolong lah pelayanannya seperti kemarin aja... maaf ya wahyoo... udah gak sreg lagi ini saya...",1,Negatif,wahyoo sekarang banyak ngecewain pelanggan  jadi males kalau order lagi  aturan kayak yg kemarin aja  jangan kayak begini  kalau masih begini terus menerus lama pailit karna konsumen pada kabur  tolong lah pelayanannya seperti kemarin aja  maaf ya wahyoo  udah gak sreg lagi ini saya ,wahyoo sekarang banyak ngecewain pelanggan jadi malas kalau order lagi aturan kayak yang kemarin saja jangan kayak begini kalau masih begini terus menerus lama pailit karena konsumen pada kabur tolong lah pelayanannya seperti kemarin saja maaf iya wahyoo sudah tidak sreg lagi ini saya,"['wahyoo', 'sekarang', 'banyak', 'ngecewain', 'pelanggan', 'jadi', 'malas', 'kalau', 'order', 'lagi', 'aturan', 'kayak', 'yang', 'kemarin', 'saja', 'jangan', 'kayak', 'begini', 'kalau', 'masih', 'begini', 'terus', 'menerus', 'lama', 'pailit', 'karena', 'konsumen', 'pada', 'kabur', 'tolong', 'lah', 'pelayanannya', 'seperti', 'kemarin', 'saja', 'maaf', 'iya', 'wahyoo', 'sudah', 'tidak', 'sreg', 'lagi', 'ini', 'saya']","['wahyoo', 'ngecewain', 'pelanggan', 'malas', 'order', 'aturan', 'kayak', 'kemarin', 'kayak', 'menerus', 'pailit', 'konsumen', 'kabur', 'tolong', 'pelayanannya', 'kemarin', 'maaf', 'iya', 'wahyoo', 'sreg']",wahyoo ngecewain langgan malas order atur kayak kemarin kayak terus pailit konsumen kabur tolong layan kemarin maaf iya wahyoo sreg
27,beli belanjaan 300 rb udb kena ongkir lagi udh nggk kek dluu,1,Negatif,beli belanjaan     rb udb kena ongkir lagi udh nggk kek dluu,beli belanjaan rb udb kena ongkos kirim lagi sudah nggk seperti dluu,"['beli', 'belanjaan', 'rb', 'udb', 'kena', 'ongkos', 'kirim', 'lagi', 'sudah', 'nggk', 'seperti', 'dluu']","['beli', 'belanjaan', 'rb', 'udb', 'kena', 'ongkos', 'kirim', 'nggk', 'dluu']",beli belanja rb udb kena ongkos kirim nggk dluu
28,"setiap ada pembaharuan semakin tidak lebih baik,,, ada biaya layanan dan ongkir s/d total 45rb... belanja harus banyak baru gratis,,, dan vocer udh dihapusin... klw tidak seperti semula pelanggan pada hilang,,, krna lebih baik belanja sendiri dripda bayar biaya layanan dn ongkir yg lumayan besar... yang jualan bahan baku ada dimana-mana... maaf sy dlu pelanggan setia, hampir setiap hari ada orderan, sekarang minat sy berkurang belanja disini",1,Negatif,setiap ada pembaharuan semakin tidak lebih baik   ada biaya layanan dan ongkir s d total   rb  belanja harus banyak baru gratis   dan vocer udh dihapusin  klw tidak seperti semula pelanggan pada hilang   krna lebih baik belanja sendiri dripda bayar biaya layanan dn ongkir yg lumayan besar  yang jualan bahan baku ada dimana mana  maaf sy dlu pelanggan setia  hampir setiap hari ada orderan  sekarang minat sy berkurang belanja disini,setiap ada pembaharuan semakin tidak lebih baik ada biaya layanan dan ongkos kirim s di total rb belanja harus banyak baru gratis dan vocer sudah dihapusin kalau tidak seperti semula pelanggan pada hilang karena lebih baik belanja sendiri dripda bayar biaya layanan dn ongkos kirim yang lumayan besar yang jualan bahan baku ada dimana mana maaf saya dulu pelanggan setia hampir setiap hari ada orderan sekarang minat saya berkurang belanja disini,"['setiap', 'ada', 'pembaharuan', 'semakin', 'tidak', 'lebih', 'baik', 'ada', 'biaya', 'layanan', 'dan', 'ongkos', 'kirim', 's', 'di', 'total', 'rb', 'belanja', 'harus', 'banyak', 'baru', 'gratis', 'dan', 'vocer', 'sudah', 'dihapusin', 'kalau', 'tidak', 'seperti', 'semula', 'pelanggan', 'pada', 'hilang', 'karena', 'lebih', 'baik', 'belanja', 'sendiri', 'dripda', 'bayar', 'biaya', 'layanan', 'dn', 'ongkos', 'kirim', 'yang', 'lumayan', 'besar', 'yang', 'jualan', 'bahan', 'baku', 'ada', 'dimana', 'mana', 'maaf', 'saya', 'dulu', 'pelanggan', 'setia', 'hampir', 'setiap', 'hari', 'ada', 'orderan', 'sekarang', 'minat', 'saya', 'berkurang', 'belanja', 'disini']","['pembaharuan', 'biaya', 'layanan', 'ongkos', 'kirim', 's', 'total', 'rb', 'belanja', 'gratis', 'vocer', 'dihapusin', 'pelanggan', 'hilang', 'belanja', 'dripda', 'bayar', 'biaya', 'layanan', 'dn', 'ongkos', 'kirim', 'lumayan', 'jualan', 'bahan', 'baku', 'dimana', 'maaf', 'pelanggan', 'setia', 'orderan', 'minat', 'berkurang', 'belanja']",baharu biaya layan ongkos kirim s total rb belanja gratis vocer dihapusin langgan hilang belanja dripda bayar biaya layan dn ongkos kirim lumayan jual bahan baku mana maaf langgan setia order minat kurang belanja
29,"udah gk mau belanja lgi,sekarang udah kena ongkir+biaya layanan,terima kasih",1,Negatif,udah gk mau belanja lgi sekarang udah kena ongkir biaya layanan terima kasih,sudah tidak mau belanja lagi sekarang sudah kena ongkos kirim biaya layanan terima kasih,"['sudah', 'tidak', 'mau', 'belanja', 'lagi', 'sekarang', 'sudah', 'kena', 'ongkos', 'kirim', 'biaya', 'layanan', 'terima', 'kasih']","['belanja', 'kena', 'ongkos', 'kirim', 'biaya', 'layanan', 'terima', 'kasih']",belanja kena ongkos kirim biaya layan terima kasih
30,wahyoo dlu bukanlah yg sekarang,1,Negatif,wahyoo dlu bukanlah yg sekarang,wahyoo dulu bukanlah yang sekarang,"['wahyoo', 'dulu', 'bukanlah', 'yang', 'sekarang']",['wahyoo'],wahyoo
